,title,final,vote_average
907,Slam,Drama SaulWilliams SonjaSohn BonzMalone MarcLevin,8.1
908,The Mighty,Comedy Drama SharonStone EldenHenson KieranCulkin PeterChelsom,7.229
909,2010,Thriller SciFi RoyScheider JohnLithgow HelenMirren PeterHyams,6.652
910,Children of a Lesser God,Drama Romance WilliamHurt MarleeMatlin PiperLaurie RandaHaines,7.0
911,The Elephant Man,Drama History AnthonyHopkins JohnHurt AnneBancroft DavidLynch,8.059
912,Practical Magic,Drama Fantasy Comedy SandraBullock NicoleKidman EvanRachelWood GriffinDunne,6.728
913,Happiness,Comedy Drama JaneAdams JonLovitz PhilipSeymourHoffman ToddSolondz,7.496
914,Reach The Rock,Comedy Drama WilliamSadler AlessandroNivola BruceNorris WilliamRyan,6.8
915,Apt Pupil,Drama Thriller IanMcKellen BradRenfro DavidSchwimmer BryanSinger,6.549
916,Pleasantville,Fantasy Drama Comedy TobeyMaguire ReeseWitherspoon WilliamH.Macy GaryRoss,7.247
917,The Cruise,"Documentary Timothy""Speed""Levitch BennettMiller",7.429
918,American History X,Drama EdwardNorton EdwardFurlong BeverlyD'Angelo TonyKaye,8.354
919,Hands on a Hard Body: The Documentary,Documentary  S.R.Bindler,7.864
920,Gods and Monsters,Drama IanMcKellen BrendanFraser LynnRedgrave BillCondon,7.011
921,Elizabeth,Drama History CateBlanchett GeoffreyRush ChristopherEccleston ShekharKapur,7.166
922,Velvet Goldmine,Drama Music EwanMcGregor ChristianBale JonathanRhysMeyers ToddHaynes,6.956
923,Meet Joe Black,Fantasy Drama Mystery BradPitt AnthonyHopkins ClaireForlani MartinBrest,7.282
924,Hard Core Logo,Drama Comedy Music HughDillon CallumKeithRennie JulianRichings BruceMcDonald,6.729
925,Runaway Train,Action Thriller JonVoight EricRoberts RebeccaDeMornay AndreiKonchalovsky,7.011
926,Sid & Nancy,Drama Music Romance GaryOldman ChloeWebb DavidHayman AlexCox,6.786
927,Mona Lisa,Drama Crime Romance BobHoskins CathyTyson MichaelCaine NeilJordan,6.9
928,The Big Chill,Comedy Drama TomBerenger GlennClose JeffGoldblum LawrenceKasdan,6.9
929,Enemy of the State,Action Drama Thriller WillSmith GeneHackman JonVoight TonyScott,6.994
930,A Bug's Life,Adventure Animation Comedy Family KevinSpacey JuliaLouis-Dreyfus HaydenPanettiere JohnLasseter,6.964
931,Savior,History Drama War DennisQuaid PascalRollin CatlinFoster PredragAntonijević,7.095
932,Waking Ned,Comedy Romance IanBannen DavidKelly FionnulaFlanagan KirkJones,7.146
933,King Kong,Action Adventure Drama Horror RobertArmstrong FayWray BruceCabot MerianC.Cooper,6.859
934,King Kong,Adventure Drama JeffBridges JessicaLange CharlesGrodin JohnGuillermin,6.859
935,The Emerald Forest,Action Adventure Drama PowersBoothe CharleyBoorman MegFoster JohnBoorman,6.696
936,Fletch,Comedy Crime Mystery ChevyChase JoeDonBaker DanaWheeler-Nicholson MichaelRitchie,6.745
937,Police Academy,Comedy Crime SteveGuttenberg KimCattrall G.W.Bailey HughWilson,6.656
938,Psycho,Horror Mystery Thriller VinceVaughn AnneHeche JulianneMoore GusVanSant,8.444
939,Little Voice,Comedy Drama BrendaBlethyn MichaelCaine EwanMcGregor MarkHerman,6.619
940,A Simple Plan,Drama Crime Thriller BillPaxton BridgetFonda BillyBobThornton SamRaimi,7.164
941,The Prince of Egypt,Adventure Animation Drama Family Music ValKilmer RalphFiennes PatrickStewart BrendaChapman,7.242
942,Rushmore,Comedy Drama JasonSchwartzman OliviaWilliams BillMurray WesAnderson,7.423
943,Shakespeare in Love,Romance History JosephFiennes GwynethPaltrow GeoffreyRush JohnMadden,6.873
944,Miracle on 34th Street,Drama Family EdmundGwenn NatalieWood MaureenO'Hara GeorgeSeaton,7.4
945,Pale Rider,Romance Western ClintEastwood MichaelMoriarty CarrieSnodgress ClintEastwood,7.174
946,Rambo: First Blood Part II,Action Adventure Thriller War SylvesterStallone RichardCrenna CharlesNapier GeorgeP.Cosmatos,6.613
947,First Blood,Action Adventure Thriller War SylvesterStallone RichardCrenna BrianDennehy TedKotcheff,7.468
948,Romancing the Stone,Action Adventure Comedy Romance MichaelDouglas KathleenTurner DannyDeVito RobertZemeckis,6.7
949,Cocoon,Comedy Drama SciFi SteveGuttenberg TahneeWelch BrianDennehy RonHoward,6.609
950,Cocoon: The Return,Comedy Drama SciFi DonAmeche WilfordBrimley CourteneyCox DanielPetrie,6.583
951,Rocky II,Drama SylvesterStallone TaliaShire BurtYoung SylvesterStallone,7.256
952,Rocky III,Drama SylvesterStallone TaliaShire BurtYoung SylvesterStallone,6.869
953,Rocky IV,Drama SylvesterStallone TaliaShire BurtYoung SylvesterStallone,7.074
954,Clue,Comedy Thriller Crime Mystery EileenBrennan TimCurry MadelineKahn JonathanLynn,7.222
955,Young Sherlock Holmes,Action Adventure Crime Drama Family Mystery Thriller NicholasRowe AlanCox SophieWard BarryLevinson,6.756
956,The Karate Kid,Drama RalphMacchio PatMorita WilliamZabka JohnG.Avildsen,6.525
957,National Lampoon's Christmas Vacation,Comedy ChevyChase BeverlyD'Angelo RandyQuaid JeremiahS.Chechik,7.217
958,You've Got Mail,Comedy Romance TomHanks MegRyan KatieSagona NoraEphron,6.672
959,The General,Drama Action Crime BrendanGleeson AdrianDunbar SeanMcGinley JohnBoorman,8.004
960,The Thin Red Line,Drama History War SeanPenn AdrienBrody JimCaviezel TerrenceMalick,7.45
961,The Faculty,Horror Mystery SciFi JordanaBrewster ElijahWood CleaDuVall RobertRodriguez,6.504
962,Patch Adams,Comedy Drama RobinWilliams PhilipSeymourHoffman BobGunton TomShadyac,7.303
963,Stepmom,Drama Romance JuliaRoberts SusanSarandon EdHarris ChrisColumbus,7.153
964,Down in the Delta,"Drama AlfreWoodard AlFreeman,Jr. EstherRolle MayaAngelou",6.6
965,Wilde,Drama History StephenFry JudeLaw VanessaRedgrave BrianGilbert,6.6
966,Hilary and Jackie,Music Drama EmilyWatson RachelGriffiths JamesFrain AnandTucker,6.819
967,Playing by Heart,Drama GillianAnderson EllenBurstyn SeanConnery WillardCarroll,6.662
968,The Fly,Drama Horror SciFi DavidHedison PatriciaOwens VincentPrice KurtNeumann,7.378
969,The Fly,Horror SciFi JeffGoldblum GeenaDavis JohnGetz DavidCronenberg,7.378
970,Running Scared,Thriller Action Comedy Crime GregoryHines BillyCrystal StevenBauer PeterHyams,6.981
971,The Texas Chain Saw Massacre,Horror MarilynBurns AllenDanziger PaulA.Partain TobeHooper,7.307
972,Ruthless People,Comedy DannyDeVito BetteMidler JudgeReinhold JimAbrahams,6.623
973,Trick or Treat,Horror Music MarcPrice TonyFields LisaOrgolini CharlesMartinSmith,7.3
974,The Name of the Rose,Drama Thriller Mystery SeanConnery ChristianSlater HelmutQualtinger Jean-JacquesAnnaud,7.474
975,The Color of Money,Drama PaulNewman TomCruise MaryElizabethMastrantonio MartinScorsese,6.837
976,Heartbreak Ridge,Action Comedy Drama War ClintEastwood MarshaMason EverettMcGill ClintEastwood,6.871
977,Gloria,Drama Action Thriller Crime SharonStone JeremyNortham CathyMoriarty SidneyLumet,6.855
978,My Name Is Joe,Drama Romance PeterMullan LouiseGoodall DavidMcKay KenLoach,7.245
979,Still Crazy,Comedy Music StephenRea BillyConnolly JimmyNail BrianGibson,6.8
980,Peeping Tom,Horror Thriller KarlheinzBöhm MoiraShearer AnnaMassey MichaelPowell,7.47
981,Payback,Drama Action Thriller Crime MelGibson KrisKristofferson GreggHenry BrianHelgeland,6.825
982,Blast from the Past,Comedy Romance BrendanFraser AliciaSilverstone ChristopherWalken HughWilson,6.693
983,"God Said, 'Ha!'",Comedy JuliaSweeney JuliaSweeney,7.0
984,October Sky,Drama Family JakeGyllenhaal ChrisCooper LauraDern JoeJohnston,7.628
985,Office Space,Comedy Crime RonLivingston JenniferAniston DavidHerman MikeJudge,7.374
986,The Breaks,Comedy MitchMullany EricMeza,6.8
987,The Long Goodbye,Thriller Crime Drama Mystery ElliottGould NinavanPallandt SterlingHayden RobertAltman,7.47
988,Pet Sematary,Drama Horror DaleMidkiff FredGwynne DeniseCrosby MaryLambert,6.6
989,Christine,Horror KeithGordon JohnStockwell AlexandraPaul JohnCarpenter,6.845
990,The Towering Inferno,Action Thriller SteveMcQueen PaulNewman WilliamHolden JohnGuillermin,7.032
991,Westworld,Action Adventure Drama Horror SciFi Thriller Western YulBrynner RichardBenjamin JamesBrolin MichaelCrichton,6.75
992,Logan's Run,Adventure Action Romance SciFi MichaelYork RichardJordan JennyAgutter MichaelAnderson,6.6
993,Cruel Intentions,Drama Romance Thriller SarahMichelleGellar RyanPhillippe ReeseWitherspoon RogerKumble,6.79
994,"Lock, Stock and Two Smoking Barrels",Comedy Crime JasonFlemyng DexterFletcher NickMoran GuyRitchie,8.131
995,Dead Ringers,Drama Horror Thriller JeremyIrons GenevièveBujold HeidivonPalleske DavidCronenberg,7.137
996,The King and I,Animation Drama Family MirandaRichardson MartinVidnovic IanRichardson RichardRich,7.2
997,Ravenous,Comedy Horror Thriller Western GuyPearce RobertCarlyle DavidArquette AntoniaBird,6.784
998,True Crime,Crime Drama ClintEastwood IsaiahWashington LisaGayHamilton ClintEastwood,6.6
999,Dangerous Beauty,Drama Romance CatherineMcCormack RufusSewell JacquelineBisset MarshallHerskovitz,7.1
1000,The King and I,Drama Music Romance DeborahKerr YulBrynner RitaMoreno WalterLang,7.2
1001,The Matrix,Action SciFi KeanuReeves LaurenceFishburne Carrie-AnneMoss LanaWachowski,8.203
1002,10 Things I Hate About You,Comedy Romance Drama HeathLedger JuliaStiles JosephGordon-Levitt GilJunger,7.573
1003,The Out-of-Towners,Comedy SteveMartin GoldieHawn JohnCleese SamWeisman,6.8
1004,Following,Crime Drama Thriller JeremyTheobald AlexHaw LucyRussell ChristopherNolan,7.162
1005,Go,Crime Comedy Thriller SarahPolley KatieHolmes JayMohr DougLiman,6.622
1006,SLC Punk,Crime Romance Comedy Drama Music MatthewLillard MichaelA.Goorjian AnnabethGish JamesMerendino,7.1
1007,Election,Comedy MatthewBroderick ReeseWitherspoon ChrisKlein AlexanderPayne,6.855
1008,eXistenZ,Action Thriller SciFi Horror JenniferJasonLeigh JudeLaw IanHolm DavidCronenberg,6.836
1009,Nô,Drama Foreign Anne-MarieCadieux MarieGignac RichardFréchette RobertLepage,7.383
1010,Get Real,Drama Romance BenSilverstone BradGorton CharlotteBrittain SimonShore,6.805
1011,Three Seasons,Drama Foreign HarveyKeitel ĐơnDương NgocHiepNguyen TonyBui,7.2
1012,The Winslow Boy,Drama RebeccaPidgeon GemmaJones NigelHawthorne DavidMamet,6.746
1013,Mildred Pierce,Crime Drama JoanCrawford JackCarson ZacharyScott MichaelCurtiz,7.659
1014,The Mummy,Adventure Action Fantasy BrendanFraser RachelWeisz JohnHannah StephenSommers,6.898
1015,The Castle,Drama Comedy MichaelCaton AnneTenney StephenCurry RobSitch,7.1
1016,Trippin',Comedy Romance DeonRichmond DonaldFaison GuyTorry DavidRaynr,6.8
1017,Star Wars: Episode I - The Phantom Menace,Adventure Action SciFi LiamNeeson EwanMcGregor NataliePortman GeorgeLucas,6.531
1018,Besieged,Drama Romance ThandieNewton DavidThewlis ClaudioSantamaria BernardoBertolucci,6.8
1019,The Mummy,Horror BorisKarloff ZitaJohann DavidManners KarlFreund,6.898
1020,The Mummy,Horror PeterCushing ChristopherLee YvonneFurneaux TerenceFisher,6.898
1021,Superman,Action Adventure Fantasy SciFi ChristopherReeve MarlonBrando MargotKidder RichardDonner,7.12
1022,Superman II,Action Adventure Fantasy SciFi GeneHackman ChristopherReeve NedBeatty RichardLester,6.732
1023,Dracula,Horror BelaLugosi HelenChandler DavidManners TodBrowning,7.203
1024,Frankenstein,Drama Horror SciFi ColinClive MaeClarke JohnBoles JamesWhale,7.513
1025,Son of Frankenstein,Horror SciFi BasilRathbone BorisKarloff BelaLugosi RowlandV.Lee,6.8
1026,The Curse of Frankenstein,Horror SciFi PeterCushing HazelCourt RobertUrquhart TerenceFisher,6.8
1027,The Wolf Man,Horror Drama LonChaneyJr. ClaudeRains EvelynAnkers GeorgeWaggner,7.098
1028,The Rocky Horror Picture Show,Comedy Horror Music SciFi TimCurry SusanSarandon BarryBostwick JimSharman,7.489
1029,The Thing from Another World,Horror SciFi KennethTobey MargaretSheridan RobertCornthwaite ChristianNyby,6.787
1030,The War of the Worlds,Horror SciFi Thriller GeneBarry AnnRobinson LesTremayne ByronHaskin,6.862
1031,Invasion of the Body Snatchers,Horror SciFi KevinMcCarthy DanaWynter KingDonovan DonSiegel,7.194
1032,"Run Silent, Run Deep",Drama War ClarkGable BurtLancaster JackWarden RobertWise,6.9
1033,Notting Hill,Romance Comedy Drama JuliaRoberts HughGrant GinaMcKee RogerMichell,7.263
1034,The Thirteenth Floor,Thriller SciFi Mystery CraigBierko ArminMueller-Stahl GretchenMol JosefRusnak,7.028
1035,Buena Vista Social Club,Documentary Music CompaySegundo EliadesOchoa RyCooder WimWenders,7.554
1036,A Place at the Table,Documentary JeffBridges TomColicchio MarianaChilton KristiJacobson,6.8
1037,A Place at the Table,Documentary JeffBridges TomColicchio MarianaChilton KristiJacobson,6.8
1038,Floating,Drama NormanReedus ChadLowe WillLyman WilliamRoth,6.6
1039,Limbo,Adventure Drama Thriller MaryElizabethMastrantonio DavidStrathairn VanessaMartinez JohnSayles,6.9
1040,The Red Dwarf,Drama Comedy Jean-YvesTual AnitaEkberg YvanLeMoine,7.772
1041,The Red Violin,Drama Thriller Mystery Music Romance CarloCecchi IreneGrazioli AnitaLaurenzi FrançoisGirard,7.416
1042,Tarzan,Adventure Animation Drama Family TonyGoldwyn GlennClose MinnieDriver KevinLima,7.4
1043,"South Park: Bigger, Longer & Uncut",Animation Comedy Music TreyParker MattStone MaryKayBergman TreyParker,7.242
1044,American Pie,Comedy Romance JasonBiggs ChrisKlein ThomasIanNicholas ChrisWeitz,6.56
1045,Arlington Road,Drama Thriller Mystery JeffBridges TimRobbins JoanCusack MarkPellington,7.008
1046,Eyes Wide Shut,Mystery Drama TomCruise NicoleKidman MadisonEginton StanleyKubrick,7.472
1047,The Wood,Comedy Drama Romance OmarEpps RichardT.Jones TayeDiggs RickFamuyiwa,6.857
1048,Ghostbusters II,Comedy Fantasy BillMurray DanAykroyd SigourneyWeaver IvanReitman,6.532
1049,Trick,Comedy Romance ToriSpelling ChristianCampbell JohnPaulPitoc JimFall,7.1
1050,Twin Falls Idaho,Drama Romance MarkPolish MichaelPolish MicheleHicks MichaelPolish,7.2
1051,The Killing,Drama Action Thriller Crime SterlingHayden ColeenGray VinceEdwards StanleyKubrick,7.686
1052,Spartacus,Action Drama History KirkDouglas LaurenceOlivier JeanSimmons StanleyKubrick,7.553
1053,Lolita,Drama Romance JamesMason SueLyon ShelleyWinters StanleyKubrick,7.129
1054,Barry Lyndon,Drama Romance War RyanO'Neal MarisaBerenson HardyKrüger StanleyKubrick,8.009
1055,Brighton Beach Memoirs,Comedy Drama Romance JonathanSilverman BlytheDanner StaceyGlick GeneSaks,6.533
1056,The Color Purple,Drama WhoopiGoldberg MargaretAvery DannyGlover StevenSpielberg,7.761
1057,The Mission,Adventure Drama Action History RobertDeNiro JeremyIrons RayMcAnally RolandJoffé,7.404
1058,Little Shop of Horrors,Horror Comedy Music RickMoranis EllenGreene VincentGardenia FrankOz,6.892
1059,Radio Days,Comedy Drama WoodyAllen MiaFarrow JeffDaniels WoodyAllen,7.058
1060,Frances,Drama JessicaLange KimStanley SamShepard GraemeClifford,7.1
1061,The Iron Giant,Adventure Animation Family Fantasy SciFi EliMarienthal JenniferAniston VinDiesel BradBird,7.923
1062,The Sixth Sense,Mystery Thriller Drama BruceWillis ToniCollette OliviaWilliams M.NightShyamalan,7.942
1063,The Thomas Crown Affair,Drama Crime Romance PierceBrosnan ReneRusso DenisLeary JohnMcTiernan,6.907
1064,The Thomas Crown Affair,Romance Crime Thriller Drama SteveMcQueen FayeDunaway PaulBurke NormanJewison,6.907
1065,Stiff Upper Lips,Comedy GeorginaCates PeterUstinov PrunellaScales GarySinyor,7.4
1066,Detroit Rock City,Comedy Music GiuseppeAndrews JamesDeBello EdwardFurlong AdamRifkin,6.675
1067,Head On,Drama AlexDimitriades PaulCapsis JulianGarner AnaKokkinos,7.461
1068,Heaven Can Wait,Fantasy Drama Comedy Romance WarrenBeatty JulieChristie JamesMason WarrenBeatty,6.536
1069,The Masque of the Red Death,Drama Horror VincentPrice HazelCourt JaneAsher RogerCorman,6.6
1070,Tales of Terror,Thriller Comedy Horror Mystery VincentPrice PeterLorre BasilRathbone RogerCorman,6.7
1071,And Now for Something Completely Different,Comedy GrahamChapman JohnCleese TerryGilliam IanMacNaughton,7.226
1072,Airplane!,Comedy RobertHays JulieHagerty KareemAbdul-Jabbar JimAbrahams,7.275
1073,National Lampoon's Vacation,Comedy Adventure Romance ChevyChase BeverlyD'Angelo ImogeneCoca HaroldRamis,7.105
1074,Big,Fantasy Drama Comedy Romance Family TomHanks ElizabethPerkins RobertLoggia PennyMarshall,7.151
1075,Little Nemo: Adventures In Slumberland,Adventure Animation Family Fantasy GabrielDamon MickeyRooney ReneAuberjonois MasamiHata,6.8
1076,The Pelican Brief,Drama Mystery Thriller Crime JuliaRoberts DenzelWashington SamShepard AlanJ.Pakula,6.608
1077,A Christmas Story,Comedy Family MelindaDillon DarrenMcGavin PeterBillingsley BobClark,7.292
1078,In Too Deep,Drama Action Thriller Crime OmarEpps LLCoolJ NiaLong MichaelRymer,6.563
1079,Three Days of the Condor,Action Thriller Mystery RobertRedford FayeDunaway CliffRobertson SydneyPollack,7.312
1080,Hamlet from the Lunt-Fontanne Theatre, RichardBurton HumeCronyn AlfredDrake BillColleran,6.6
1081,The 13th Warrior,Adventure Fantasy Action AntonioBanderas VladimirKulich DennisStorhøi JohnMcTiernan,6.646
1082,A Dog Of Flanders,Drama Family JackWarden JeremyJamesKissner JesseJames KevinBrodie,6.6
1083,West Beyrouth,Romance Drama Comedy RamiDoueiri NaamarSahli MohamadChamas ZiadDoueiri,7.311
1084,Stir of Echoes,Horror Mystery Thriller KevinBacon KathrynErbe IlleanaDouglas DavidKoepp,6.658
1085,Only Angels Have Wings,Action Adventure Drama Romance CaryGrant JeanArthur RichardBarthelmess HowardHawks,7.37
1086,Othello,Drama Romance OrsonWelles MicheálMacLiammóir RobertCoote OrsonWelles,6.6
1087,A Soldier's Story,Drama Mystery War HowardRollins AdolphCaesar ArtEvans NormanJewison,6.8
1088,Yellow Submarine,Animation Fantasy Music PaulAngelis JohnLennon PaulMcCartney GeorgeDunning,7.123
1089,American Beauty,Drama KevinSpacey AnnetteBening ThoraBirch SamMendes,8.027
1090,Stop Making Sense,Documentary Music DavidByrne TinaWeymouth ChrisFrantz JonathanDemme,8.2
1091,A Hard Day's Night,Comedy Music JohnLennon PaulMcCartney GeorgeHarrison RichardLester,7.428
1092,The Buddy Holly Story,Drama GaryBusey DonStroud CharlesMartinSmith SteveRash,7.3
1093,Fright Night,Horror ChrisSarandon WilliamRagsdale AmandaBearse TomHolland,7.029
1094,Barefoot in the Park,Comedy Romance RobertRedford JaneFonda CharlesBoyer GeneSaks,7.1
1095,Deliverance,Drama Adventure Thriller JonVoight BurtReynolds NedBeatty JohnBoorman,7.319
1096,Excalibur,Fantasy Adventure NigelTerry HelenMirren NicholasClay JohnBoorman,6.966
1097,The Pajama Game,Comedy Music DorisDay JohnRaitt CarolHaney GeorgeAbbott,6.557
1098,Double Jeopardy,Crime Drama Mystery Thriller TommyLeeJones AshleyJudd BruceGreenwood BruceBeresford,6.531
1099,Jakob the Liar,Comedy Drama History RobinWilliams ArminMueller-Stahl HannahTaylor-Gordon PeterKassovitz,6.641
1100,Mumford,Comedy Drama Romance LorenDean HopeDavis JasonLee LawrenceKasdan,6.513
1101,Dog Park,Romance Comedy NatashaHenstridge LukeWilson JaneaneGarofalo BruceMcCulloch,6.7
1102,Drive Me Crazy,Drama Comedy Romance Family MelissaJoanHart StephenCollins AdrianGrenier JohnSchultz,6.589
1103,Three Kings,Action Adventure Comedy GeorgeClooney MarkWahlberg IceCube DavidO.Russell,6.639
1104,Phantasm,Horror SciFi AngusScrimm A.MichaelBaldwin BillThornbury DonCoscarelli,6.604
1105,Rain,Drama JoanCrawford WalterHuston MattMoore LewisMilestone,7.014
1106,Boys Don't Cry,Crime Drama HilarySwank ChloëSevigny PeterSarsgaard KimberlyPeirce,7.452
1107,The Limey,Action Crime Drama Mystery Thriller TerenceStamp LesleyAnnWarren LuisGuzmán StevenSoderbergh,6.624
